,2 years,5 years,10 years,20 years
2015-07-02,-0.865,-0.493,0.142,0.672
2015-07-03,-0.867,-0.501,0.134,0.673
2015-07-06,-0.899,-0.547,0.08,0.615
2015-07-07,-0.91,-0.569,0.064,0.611
2015-07-08,-0.916,-0.599,-0.002,0.518
2015-07-09,-0.913,-0.591,0.01,0.538
2015-07-10,-0.868,-0.539,0.07,0.605
2015-07-13,-0.802,-0.453,0.148,0.681
2015-07-14,-0.844,-0.518,0.091,0.642
2015-07-15,-0.829,-0.504,0.099,0.652
2015-07-16,-0.818,-0.498,0.092,0.64
2015-07-17,-0.803,-0.498,0.068,0.61
2015-07-20,-0.787,-0.488,0.069,0.619
2015-07-21,-0.799,-0.517,0.026,0.573
2015-07-22,-0.782,-0.502,0.033,0.586
2015-07-23,-0.785,-0.513,0.011,0.556
2015-07-24,-0.796,-0.537,-0.019,0.532
2015-07-27,-0.801,-0.56,-0.059,0.498
2015-07-28,-0.799,-0.553,-0.043,0.522
2015-07-29,-0.792,-0.537,-0.02,0.546
2015-07-30,-0.79,-0.535,-0.018,0.557
2015-07-31,-0.795,-0.545,-0.035,0.539
2015-08-03,-0.799,-0.548,-0.028,0.546
2015-08-04,-0.821,-0.594,-0.093,0.485
2015-08-05,-0.803,-0.567,-0.061,0.518
2015-08-06,-0.781,-0.546,-0.057,0.528
2015-08-07,-0.8,-0.573,-0.082,0.501
2015-08-10,-0.8,-0.586,-0.107,0.474
2015-08-11,-0.8,-0.595,-0.126,0.457
2015-08-12,-0.816,-0.63,-0.18,0.401
2015-08-13,-0.801,-0.614,-0.167,0.418
2015-08-14,-0.8,-0.608,-0.154,0.434
2015-08-17,-0.813,-0.629,-0.178,0.41
2015-08-18,-0.798,-0.625,-0.202,0.373
2015-08-19,-0.809,-0.628,-0.186,0.394
2015-08-20,-0.794,-0.609,-0.179,0.386
2015-08-21,-0.799,-0.627,-0.208,0.366
2015-08-24,-0.821,-0.652,-0.223,0.354
2015-08-25,-0.79,-0.604,-0.179,0.386
2015-08-26,-0.775,-0.579,-0.151,0.411
2015-08-27,-0.749,-0.546,-0.125,0.431
2015-08-28,-0.76,-0.555,-0.116,0.451
2015-08-31,-0.757,-0.555,-0.124,0.443
2015-09-01,-0.74,-0.525,-0.084,0.492
2015-09-02,-0.737,-0.527,-0.096,0.48
2015-09-03,-0.738,-0.527,-0.092,0.486
2015-09-04,-0.756,-0.551,-0.119,0.46
2015-09-07,-0.762,-0.564,-0.136,0.439
2015-09-08,-0.759,-0.556,-0.125,0.446
2015-09-09,-0.766,-0.56,-0.111,0.484
2015-09-10,-0.764,-0.552,-0.104,0.484
2015-09-11,-0.758,-0.54,-0.076,0.553
2015-09-14,-0.762,-0.546,-0.079,0.55
2015-09-15,-0.771,-0.549,-0.062,0.583
2015-09-16,-0.74,-0.492,0.01,0.651
2015-09-17,-0.721,-0.461,0.043,0.676
2015-09-18,-0.744,-0.505,-0.021,0.599
2015-09-21,-0.756,-0.517,-0.025,0.596
2015-09-22,-0.76,-0.527,-0.041,0.574
2015-09-23,-0.768,-0.545,-0.067,0.554
2015-09-24,-0.759,-0.537,-0.063,0.566
2015-09-25,-0.75,-0.53,-0.068,0.551
2015-09-28,-0.772,-0.561,-0.09,0.542
2015-09-29,-0.782,-0.579,-0.116,0.512
2015-09-30,-0.795,-0.577,-0.1,0.546
2015-10-01,-0.803,-0.606,-0.133,0.51
2015-10-02,-0.797,-0.609,-0.155,0.49
2015-10-05,-0.829,-0.658,-0.202,0.446
2015-10-06,-0.812,-0.644,-0.201,0.455
2015-10-07,-0.8,-0.623,-0.171,0.497
2015-10-08,-0.803,-0.634,-0.193,0.469
2015-10-09,-0.792,-0.615,-0.173,0.484
2015-10-12,-0.802,-0.623,-0.167,0.503
2015-10-13,-0.801,-0.629,-0.185,0.481
2015-10-14,-0.801,-0.63,-0.187,0.473
2015-10-15,-0.814,-0.652,-0.21,0.457
2015-10-16,-0.809,-0.645,-0.206,0.458
2015-10-19,-0.812,-0.646,-0.202,0.461
2015-10-20,-0.822,-0.667,-0.231,0.435
2015-10-21,-0.825,-0.666,-0.228,0.415
2015-10-22,-0.826,-0.678,-0.256,0.385
2015-10-23,-0.864,-0.723,-0.284,0.366
2015-10-26,-0.887,-0.743,-0.288,0.364
2015-10-27,-0.898,-0.757,-0.299,0.356
2015-10-28,-0.917,-0.786,-0.325,0.333
2015-10-29,-0.91,-0.771,-0.307,0.349
2015-10-30,-0.89,-0.739,-0.272,0.38
2015-11-02,-0.881,-0.721,-0.247,0.406
2015-11-03,-0.895,-0.738,-0.26,0.388
2015-11-04,-0.889,-0.733,-0.262,0.387
2015-11-05,-0.901,-0.741,-0.257,0.395
2015-11-06,-0.939,-0.805,-0.326,0.343
2015-11-09,-0.97,-0.802,-0.271,0.396
2015-11-10,-1.005,-0.847,-0.301,0.38
2015-11-11,-1.011,-0.823,-0.251,0.424
2015-11-12,-1.026,-0.851,-0.275,0.419
2015-11-13,-1.032,-0.862,-0.292,0.398
2015-11-16,-1.044,-0.879,-0.31,0.381
2015-11-17,-1.034,-0.874,-0.315,0.371
2015-11-18,-1.041,-0.876,-0.312,0.365
2015-11-19,-1.028,-0.864,-0.308,0.368
2015-11-20,-1.031,-0.858,-0.297,0.372
2015-11-23,-1.027,-0.846,-0.281,0.379
2015-11-24,-1.031,-0.853,-0.287,0.371
2015-11-25,-1.013,-0.841,-0.29,0.37
2015-11-26,-1.028,-0.867,-0.322,0.337
2015-11-27,-1.033,-0.865,-0.314,0.341
2015-11-30,-1.048,-0.875,-0.311,0.347
2015-12-01,-1.109,-0.923,-0.325,0.332
2015-12-02,-1.149,-0.967,-0.358,0.292
2015-12-03,-1.139,-0.95,-0.351,0.294
2015-12-04,-0.981,-0.768,-0.206,0.426
2015-12-07,-0.956,-0.764,-0.23,0.406
2015-12-08,-0.957,-0.765,-0.232,0.394
2015-12-09,-1,-0.794,-0.235,0.385
2015-12-10,-0.935,-0.724,-0.185,0.419
2015-12-11,-0.906,-0.694,-0.172,0.428
2015-12-14,-0.896,-0.689,-0.171,0.43
2015-12-15,-0.875,-0.65,-0.128,0.463
2015-12-16,-0.853,-0.623,-0.109,0.477
2015-12-17,-0.862,-0.638,-0.13,0.443
2015-12-18,-0.845,-0.631,-0.144,0.422
2015-12-21,-0.858,-0.635,-0.124,0.455
2015-12-22,-0.85,-0.618,-0.113,0.445
2015-12-23,-0.821,-0.574,-0.067,0.485
2015-12-24,-0.821,-0.574,-0.067,0.485
2015-12-25,-0.821,-0.574,-0.067,0.485
2015-12-28,-0.812,-0.564,-0.063,0.49
2015-12-29,-0.809,-0.565,-0.071,0.475
2015-12-30,-0.786,-0.533,-0.039,0.508
2015-12-31,-0.786,-0.533,-0.039,0.508
2016-01-01,-0.786,-0.533,-0.039,0.508
2016-01-04,-0.794,-0.558,-0.081,0.457
2016-01-05,-0.797,-0.576,-0.115,0.434
2016-01-06,-0.825,-0.612,-0.139,0.413
2016-01-07,-0.841,-0.642,-0.174,0.374
2016-01-08,-0.804,-0.583,-0.112,0.425
2016-01-11,-0.833,-0.614,-0.13,0.418
2016-01-12,-0.823,-0.596,-0.109,0.439
2016-01-13,-0.834,-0.616,-0.139,0.394
2016-01-14,-0.846,-0.646,-0.186,0.343
2016-01-15,-0.857,-0.666,-0.203,0.341
2016-01-18,-0.858,-0.66,-0.187,0.35
2016-01-19,-0.859,-0.663,-0.196,0.341
2016-01-20,-0.872,-0.687,-0.225,0.306
2016-01-21,-0.867,-0.683,-0.226,0.304
2016-01-22,-0.883,-0.704,-0.238,0.301
2016-01-25,-0.894,-0.713,-0.239,0.302
2016-01-26,-0.919,-0.754,-0.285,0.255
2016-01-27,-0.899,-0.733,-0.271,0.262
2016-01-28,-0.871,-0.702,-0.254,0.268
2016-01-29,-0.88,-0.729,-0.299,0.219
2016-02-01,-0.909,-0.776,-0.341,0.197
2016-02-02,-0.893,-0.745,-0.317,0.187
2016-02-03,-0.91,-0.759,-0.324,0.17
2016-02-04,-0.886,-0.739,-0.316,0.182
2016-02-05,-0.89,-0.744,-0.319,0.184
2016-02-08,-0.878,-0.735,-0.323,0.178
2016-02-09,-0.913,-0.785,-0.372,0.125
2016-02-10,-0.904,-0.763,-0.349,0.132
2016-02-11,-0.943,-0.796,-0.359,0.12
2016-02-12,-0.945,-0.781,-0.331,0.14
2016-02-15,-0.93,-0.754,-0.297,0.18
2016-02-16,-0.942,-0.772,-0.322,0.147
2016-02-17,-0.965,-0.807,-0.353,0.123
2016-02-18,-0.942,-0.782,-0.33,0.16
2016-02-19,-0.942,-0.789,-0.352,0.128
2016-02-22,-0.957,-0.805,-0.358,0.132
2016-02-23,-0.986,-0.849,-0.402,0.091
2016-02-24,-1.002,-0.868,-0.422,0.066
2016-02-25,-1.006,-0.876,-0.431,0.057
2016-02-26,-1.017,-0.882,-0.433,0.049
2016-02-29,-1.027,-0.9,-0.453,0.025
2016-03-01,-1.055,-0.932,-0.478,0.004
2016-03-02,-1.027,-0.904,-0.45,0.047
2016-03-03,-1.003,-0.881,-0.443,0.05
2016-03-04,-1.012,-0.888,-0.444,0.049
2016-03-07,-0.992,-0.875,-0.439,0.068
2016-03-08,-1.006,-0.884,-0.437,0.067
2016-03-09,-0.984,-0.862,-0.419,0.095
2016-03-10,-0.978,-0.837,-0.372,0.148
2016-03-11,-0.912,-0.765,-0.324,0.194
2016-03-14,-0.901,-0.757,-0.331,0.172
2016-03-15,-0.907,-0.762,-0.331,0.181
2016-03-16,-0.887,-0.741,-0.322,0.18
2016-03-17,-0.898,-0.773,-0.373,0.12
2016-03-18,-0.892,-0.764,-0.361,0.134
2016-03-21,-0.897,-0.769,-0.361,0.132
2016-03-22,-0.905,-0.781,-0.375,0.118
2016-03-23,-0.882,-0.747,-0.344,0.139
2016-03-24,-0.876,-0.752,-0.368,0.109
2016-03-25,-0.876,-0.752,-0.368,0.109
2016-03-28,-0.876,-0.752,-0.368,0.109
2016-03-29,-0.878,-0.768,-0.397,0.088
2016-03-30,-0.867,-0.757,-0.394,0.083
2016-03-31,-0.865,-0.74,-0.387,0.087
2016-04-01,-0.856,-0.739,-0.383,0.096
2016-04-04,-0.865,-0.753,-0.395,0.095
2016-04-05,-0.867,-0.762,-0.413,0.065
2016-04-06,-0.884,-0.775,-0.403,0.081
2016-04-07,-0.872,-0.762,-0.396,0.083
2016-04-08,-0.867,-0.842,-0.362,0.044
2016-04-11,-0.864,-0.842,-0.37,0.034
2016-04-12,-0.849,-0.813,-0.335,0.071
2016-04-13,-0.852,-0.822,-0.343,0.072
2016-04-14,-0.854,-0.826,-0.35,0.059
2016-04-15,-0.855,-0.809,-0.334,0.066
2016-04-18,-0.872,-0.826,-0.351,0.051
2016-04-19,-0.871,-0.815,-0.344,0.056
2016-04-20,-0.873,-0.816,-0.342,0.064
2016-04-21,-0.865,-0.797,-0.317,0.086
2016-04-22,-0.853,-0.756,-0.238,0.137
2016-04-25,-0.827,-0.764,-0.258,0.132
2016-04-26,-0.826,-0.747,-0.241,0.139
2016-04-27,-0.825,-0.727,-0.215,0.16
2016-04-28,-0.826,-0.766,-0.256,0.14
2016-04-29,-0.809,-0.745,-0.245,0.142
2016-05-02,-0.82,-0.746,-0.251,0.131
2016-05-03,-0.819,-0.729,-0.23,0.145
2016-05-04,-0.816,-0.741,-0.248,0.129
2016-05-05,-0.816,-0.741,-0.248,0.129
2016-05-06,-0.843,-0.767,-0.271,0.108
2016-05-09,-0.85,-0.773,-0.279,0.101
2016-05-10,-0.854,-0.782,-0.298,0.082
2016-05-11,-0.851,-0.793,-0.313,0.073
2016-05-12,-0.837,-0.785,-0.314,0.073
2016-05-13,-0.82,-0.778,-0.308,0.086
2016-05-16,-0.82,-0.778,-0.308,0.086
2016-05-17,-0.85,-0.782,-0.295,0.099
2016-05-18,-0.845,-0.788,-0.306,0.091
2016-05-19,-0.82,-0.773,-0.293,0.108
2016-05-20,-0.816,-0.772,-0.295,0.105
2016-05-23,-0.832,-0.774,-0.287,0.112
2016-05-24,-0.825,-0.762,-0.277,0.117
2016-05-25,-0.816,-0.746,-0.26,0.141
2016-05-26,-0.798,-0.754,-0.29,0.109
2016-05-27,-0.822,-0.771,-0.301,0.097
2016-05-30,-0.806,-0.761,-0.293,0.109
2016-05-31,-0.804,-0.758,-0.298,0.101
2016-06-01,-0.82,-0.797,-0.356,0.049
2016-06-02,-0.807,-0.792,-0.356,0.05
2016-06-03,-0.834,-0.825,-0.385,0.026
2016-06-06,-0.851,-0.83,-0.392,0.011
2016-06-07,-0.858,-0.832,-0.38,0.02
2016-06-08,-0.874,-0.865,-0.418,-0.011
2016-06-09,-0.857,-0.87,-0.418,-0.013
2016-06-10,-0.907,-0.913,-0.446,-0.044
2016-06-13,-0.938,-0.928,-0.448,-0.048
2016-06-14,-0.951,-0.959,-0.48,-0.072
2016-06-15,-0.948,-0.953,-0.474,-0.059
2016-06-16,-0.98,-0.972,-0.499,-0.091
2016-06-17,-1.003,-0.965,-0.5,-0.12
2016-06-20,-0.946,-0.927,-0.457,-0.065
2016-06-21,-0.963,-0.898,-0.436,-0.054
2016-06-22,-0.953,-0.89,-0.413,-0.025
2016-06-23,-0.933,-0.857,-0.384,-0.004
2016-06-24,-0.952,-0.977,-0.5,-0.134
2016-06-27,-1.013,-0.994,-0.498,-0.121
2016-06-28,-0.998,-0.986,-0.509,-0.144
2016-06-29,-0.997,-0.978,-0.496,-0.123
2016-06-30,-0.998,-0.982,-0.508,-0.155
2016-07-01,-1.046,-1.048,-0.565,-0.207
2016-07-04,-1.057,-1.054,-0.563,-0.198
2016-07-05,-1.064,-1.047,-0.592,-0.222
2016-07-06,-1.061,-1.05,-0.599,-0.227
2016-07-07,-1.024,-1.014,-0.587,-0.228
2016-07-08,-1.026,-1.016,-0.576,-0.219
2016-07-11,-1.045,-1.037,-0.597,-0.246
2016-07-12,-1.048,-1.04,-0.596,-0.227
2016-07-13,-1.035,-1.027,-0.601,-0.225
2016-07-14,-0.976,-0.988,-0.58,-0.199
2016-07-15,-0.98,-0.968,-0.555,-0.181
2016-07-18,-0.956,-0.959,-0.543,-0.172
2016-07-19,-0.949,-0.962,-0.554,-0.183
2016-07-20,-0.947,-0.951,-0.549,-0.173
2016-07-21,-0.922,-0.921,-0.512,-0.133
2016-07-22,-0.919,-0.918,-0.511,-0.153
2016-07-25,-0.958,-0.923,-0.502,-0.145
2016-07-26,-0.938,-0.912,-0.514,-0.165
2016-07-27,-0.912,-0.904,-0.502,-0.15
2016-07-28,-0.902,-0.922,-0.546,-0.196
2016-07-29,-0.902,-0.92,-0.543,-0.198
2016-08-01,-0.902,-0.92,-0.543,-0.198
2016-08-02,-0.925,-0.922,-0.531,-0.185
2016-08-03,-0.907,-0.908,-0.512,-0.161
2016-08-04,-0.889,-0.897,-0.508,-0.162
2016-08-05,-0.894,-0.921,-0.528,-0.179
2016-08-08,-0.89,-0.903,-0.518,-0.17
2016-08-09,-0.887,-0.897,-0.512,-0.176
2016-08-10,-0.916,-0.907,-0.524,-0.183
2016-08-11,-0.899,-0.915,-0.548,-0.214
2016-08-12,-0.911,-0.896,-0.518,-0.198
2016-08-15,-0.906,-0.91,-0.543,-0.211
2016-08-16,-0.89,-0.881,-0.516,-0.192
2016-08-17,-0.887,-0.862,-0.481,-0.157
2016-08-18,-0.882,-0.871,-0.499,-0.175
2016-08-19,-0.892,-0.879,-0.503,-0.179
2016-08-22,-0.891,-0.865,-0.484,-0.159
2016-08-23,-0.895,-0.877,-0.503,-0.175
2016-08-24,-0.887,-0.863,-0.499,-0.18
2016-08-25,-0.879,-0.864,-0.502,-0.182
2016-08-26,-0.877,-0.862,-0.501,-0.18
2016-08-29,-0.879,-0.847,-0.49,-0.172
2016-08-30,-0.879,-0.837,-0.476,-0.164
2016-08-31,-0.865,-0.822,-0.462,-0.15
2016-09-01,-0.87,-0.808,-0.452,-0.14
2016-09-02,-0.874,-0.809,-0.446,-0.134
2016-09-05,-0.884,-0.808,-0.44,-0.133
2016-09-06,-0.891,-0.816,-0.445,-0.141
2016-09-07,-0.91,-0.843,-0.479,-0.174
2016-09-08,-0.878,-0.838,-0.489,-0.182
2016-09-09,-0.88,-0.815,-0.441,-0.132
2016-09-12,-0.858,-0.756,-0.373,-0.057
2016-09-13,-0.864,-0.763,-0.381,-0.081
2016-09-14,-0.871,-0.738,-0.339,-0.047
2016-09-15,-0.863,-0.735,-0.335,-0.038
2016-09-16,-0.869,-0.749,-0.354,-0.049
2016-09-19,-0.896,-0.78,-0.378,-0.064
2016-09-20,-0.865,-0.771,-0.37,-0.054
2016-09-21,-0.872,-0.779,-0.378,-0.063
2016-09-22,-0.884,-0.791,-0.408,-0.099
2016-09-23,-0.892,-0.813,-0.428,-0.11
2016-09-26,-0.904,-0.833,-0.456,-0.126
2016-09-27,-0.923,-0.874,-0.496,-0.155
2016-09-28,-0.917,-0.874,-0.508,-0.175
2016-09-29,-0.907,-0.861,-0.496,-0.156
2016-09-30,-0.92,-0.881,-0.522,-0.183
2016-10-03,-0.92,-0.882,-0.529,-0.19
2016-10-04,-0.914,-0.875,-0.52,-0.175
2016-10-05,-0.896,-0.845,-0.491,-0.145
2016-10-06,-0.892,-0.838,-0.472,-0.131
2016-10-07,-0.895,-0.83,-0.456,-0.12
2016-10-10,-0.758,-0.842,-0.47,-0.114
2016-10-11,-0.798,-0.853,-0.447,-0.096
2016-10-12,-0.792,-0.85,-0.45,-0.098
2016-10-13,-0.824,-0.865,-0.446,-0.099
2016-10-14,-0.778,-0.843,-0.435,-0.078
2016-10-17,-0.765,-0.812,-0.411,-0.07
2016-10-18,-0.794,-0.849,-0.435,-0.081
2016-10-19,-0.792,-0.85,-0.438,-0.087
2016-10-20,-0.785,-0.826,-0.436,-0.092
2016-10-21,-0.789,-0.843,-0.455,-0.112
2016-10-24,-0.79,-0.839,-0.455,-0.117
2016-10-25,-0.792,-0.831,-0.432,-0.091
2016-10-26,-0.792,-0.826,-0.42,-0.084
2016-10-27,-0.783,-0.792,-0.377,-0.048
2016-10-28,-0.784,-0.77,-0.339,-0.011
2016-10-31,-0.787,-0.777,-0.362,-0.049
2016-11-01,-0.783,-0.741,-0.316,-0.007
2016-11-02,-0.794,-0.764,-0.334,-0.019
2016-11-03,-0.783,-0.734,-0.308,-0.001
2016-11-04,-0.793,-0.731,-0.298,0.008
2016-11-07,-0.801,-0.731,-0.292,0.017
2016-11-08,-0.802,-0.739,-0.296,0.018
2016-11-09,-0.8,-0.764,-0.317,0.016
2016-11-10,-0.788,-0.685,-0.237,0.071
2016-11-11,-0.779,-0.629,-0.147,0.18
2016-11-14,-0.768,-0.578,-0.091,0.224
2016-11-15,-0.763,-0.597,-0.099,0.233
2016-11-16,-0.766,-0.576,-0.068,0.265
2016-11-17,-0.768,-0.589,-0.096,0.226
2016-11-18,-0.789,-0.569,-0.052,0.276
2016-11-21,-0.787,-0.587,-0.073,0.259
2016-11-22,-0.817,-0.657,-0.134,0.213
2016-11-23,-0.815,-0.665,-0.15,0.195
2016-11-24,-0.795,-0.65,-0.141,0.204
2016-11-25,-0.829,-0.66,-0.134,0.214
2016-11-28,-0.826,-0.661,-0.147,0.193
2016-11-29,-0.823,-0.659,-0.143,0.199
2016-11-30,-0.82,-0.65,-0.13,0.212
2016-12-01,-0.804,-0.607,-0.087,0.251
2016-12-02,-0.811,-0.6,-0.074,0.264
2016-12-05,-0.806,-0.62,-0.09,0.258
2016-12-06,-0.81,-0.594,-0.067,0.27
2016-12-07,-0.801,-0.584,-0.054,0.286
2016-12-08,-0.787,-0.567,-0.041,0.296
2016-12-09,-0.792,-0.58,-0.037,0.316
2016-12-12,-0.787,-0.551,0.011,0.375
2016-12-13,-0.799,-0.562,0.004,0.367
2016-12-14,-0.811,-0.591,-0.031,0.33
2016-12-15,-0.768,-0.552,-0.001,0.361
2016-12-16,-0.783,-0.57,-0.025,0.331
2016-12-19,-0.784,-0.568,-0.022,0.334
2016-12-20,-0.796,-0.594,-0.048,0.309
2016-12-21,-0.785,-0.597,-0.058,0.3
2016-12-22,-0.772,-0.591,-0.059,0.297
2016-12-23,-0.788,-0.608,-0.073,0.283
2016-12-26,-0.788,-0.608,-0.073,0.283
2016-12-27,-0.797,-0.641,-0.106,0.253
2016-12-28,-0.805,-0.65,-0.118,0.238
2016-12-29,-0.779,-0.655,-0.138,0.243
2016-12-30,-0.793,-0.655,-0.135,0.226
2017-01-02,-0.793,-0.655,-0.135,0.226
2017-01-03,-0.796,-0.669,-0.164,0.187
2017-01-04,-0.824,-0.674,-0.147,0.211
2017-01-05,-0.814,-0.675,-0.158,0.197
2017-01-06,-0.827,-0.68,-0.162,0.191
2017-01-09,-0.835,-0.676,-0.148,0.207
2017-01-10,-0.829,-0.682,-0.162,0.191
2017-01-11,-0.823,-0.687,-0.171,0.183
2017-01-12,-0.815,-0.71,-0.2,0.163
2017-01-13,-0.818,-0.691,-0.185,0.164
2017-01-16,-0.825,-0.699,-0.187,0.168
2017-01-17,-0.821,-0.717,-0.196,0.177
2017-01-18,-0.823,-0.697,-0.179,0.18
2017-01-19,-0.785,-0.65,-0.136,0.225
2017-01-20,-0.802,-0.642,-0.108,0.258
2017-01-23,-0.806,-0.63,-0.092,0.272
2017-01-24,-0.806,-0.642,-0.11,0.253
2017-01-25,-0.82,-0.623,-0.074,0.288
2017-01-26,-0.808,-0.604,-0.052,0.308
2017-01-27,-0.817,-0.611,-0.056,0.305
2017-01-30,-0.831,-0.623,-0.063,0.296
2017-01-31,-0.835,-0.626,-0.072,0.282
2017-02-01,-0.803,-0.591,-0.051,0.299
2017-02-02,-0.797,-0.588,-0.042,0.315
2017-02-03,-0.811,-0.599,-0.045,0.313
2017-02-06,-0.731,-0.596,-0.083,0.279
2017-02-07,-0.849,-0.669,-0.108,0.258
2017-02-08,-0.84,-0.654,-0.096,0.267
2017-02-09,-0.832,-0.678,-0.13,0.237
2017-02-10,-0.831,-0.677,-0.131,0.234
2017-02-13,-0.857,-0.675,-0.115,0.249
2017-02-14,-0.835,-0.678,-0.124,0.246
2017-02-15,-0.84,-0.661,-0.094,0.28
2017-02-16,-0.841,-0.684,-0.117,0.262
2017-02-17,-0.84,-0.694,-0.135,0.243
2017-02-20,-0.851,-0.7,-0.143,0.231
2017-02-21,-0.846,-0.701,-0.142,0.236
2017-02-22,-0.844,-0.704,-0.147,0.229
2017-02-23,-0.861,-0.708,-0.154,0.212
2017-02-24,-0.863,-0.737,-0.204,0.166
2017-02-27,-0.873,-0.75,-0.214,0.156
2017-02-28,-0.874,-0.752,-0.213,0.154
2017-03-01,-0.863,-0.746,-0.206,0.165
2017-03-02,-0.851,-0.728,-0.195,0.171
2017-03-03,-0.861,-0.712,-0.168,0.196
2017-03-06,-0.843,-0.669,-0.122,0.241
2017-03-07,-0.828,-0.652,-0.113,0.244
2017-03-08,-0.83,-0.638,-0.092,0.265
2017-03-09,-0.832,-0.603,-0.059,0.286
2017-03-10,-0.804,-0.547,0.001,0.345
2017-03-13,-0.799,-0.528,0.025,0.37
2017-03-14,-0.795,-0.512,0.035,0.372
2017-03-15,-0.809,-0.541,0.003,0.339
2017-03-16,-0.793,-0.546,-0.023,0.304
2017-03-17,-0.777,-0.516,0.009,0.337
2017-03-20,-0.791,-0.542,-0.013,0.318
2017-03-21,-0.767,-0.517,0.007,0.338
2017-03-22,-0.776,-0.545,-0.024,0.308
2017-03-23,-0.767,-0.542,-0.032,0.295
2017-03-24,-0.758,-0.521,-0.006,0.323
2017-03-27,-0.773,-0.55,-0.041,0.283
2017-03-28,-0.781,-0.552,-0.042,0.282
2017-03-29,-0.78,-0.579,-0.073,0.254
2017-03-30,-0.776,-0.597,-0.102,0.223
2017-03-31,-0.773,-0.594,-0.1,0.218
2017-04-03,-0.8,-0.603,-0.098,0.224
2017-04-04,-0.787,-0.622,-0.128,0.197
2017-04-05,-0.798,-0.627,-0.134,0.189
2017-04-06,-0.795,-0.626,-0.145,0.168
2017-04-07,-0.789,-0.626,-0.142,0.177
2017-04-10,-0.814,-0.653,-0.163,0.158
2017-04-11,-0.825,-0.669,-0.162,0.172
2017-04-12,-0.811,-0.657,-0.164,0.164
2017-04-13,-0.815,-0.672,-0.185,0.139
2017-04-14,-0.815,-0.672,-0.185,0.139
2017-04-17,-0.815,-0.672,-0.185,0.139
2017-04-18,-0.836,-0.684,-0.196,0.123
2017-04-19,-0.832,-0.686,-0.201,0.118
2017-04-20,-0.823,-0.679,-0.197,0.121
2017-04-21,-0.829,-0.676,-0.193,0.12
2017-04-24,-0.805,-0.613,-0.12,0.194
2017-04-25,-0.796,-0.591,-0.105,0.203
2017-04-26,-0.776,-0.575,-0.084,0.23
2017-04-27,-0.787,-0.58,-0.083,0.234
2017-04-28,-0.772,-0.589,-0.096,0.227
2017-05-01,-0.772,-0.589,-0.096,0.227
2017-05-02,-0.786,-0.587,-0.091,0.225
2017-05-03,-0.774,-0.596,-0.099,0.227
2017-05-04,-0.778,-0.58,-0.076,0.249
2017-05-05,-0.769,-0.558,-0.057,0.263
2017-05-08,-0.768,-0.553,-0.045,0.281
2017-05-09,-0.764,-0.544,-0.032,0.295
2017-05-10,-0.743,-0.535,-0.026,0.306
2017-05-11,-0.756,-0.532,-0.022,0.304
2017-05-12,-0.753,-0.553,-0.054,0.271
2017-05-15,-0.762,-0.565,-0.062,0.265
2017-05-16,-0.757,-0.552,-0.048,0.279
2017-05-17,-0.778,-0.586,-0.08,0.248
2017-05-18,-0.788,-0.605,-0.103,0.223
2017-05-19,-0.789,-0.606,-0.097,0.235
2017-05-22,-0.788,-0.606,-0.1,0.232
2017-05-23,-0.788,-0.599,-0.082,0.258
2017-05-24,-0.772,-0.602,-0.093,0.25
2017-05-25,-0.772,-0.602,-0.093,0.25
2017-05-26,-0.772,-0.618,-0.104,0.252
2017-05-29,-0.774,-0.623,-0.112,0.243
2017-05-30,-0.788,-0.643,-0.126,0.232
2017-05-31,-0.8,-0.659,-0.145,0.208
2017-06-01,-0.79,-0.666,-0.161,0.194
2017-06-02,-0.788,-0.668,-0.163,0.193
2017-06-05,-0.788,-0.668,-0.163,0.193
2017-06-06,-0.801,-0.679,-0.168,0.193
2017-06-07,-0.797,-0.679,-0.169,0.193
2017-06-08,-0.771,-0.664,-0.163,0.199
2017-06-09,-0.819,-0.667,-0.159,0.18
2017-06-12,-0.82,-0.675,-0.166,0.178
2017-06-13,-0.834,-0.673,-0.155,0.187
2017-06-14,-0.815,-0.664,-0.154,0.189
2017-06-15,-0.81,-0.672,-0.173,0.167
2017-06-16,-0.807,-0.636,-0.129,0.212
2017-06-19,-0.811,-0.638,-0.129,0.213
2017-06-20,-0.803,-0.634,-0.133,0.205
2017-06-21,-0.805,-0.646,-0.155,0.177
2017-06-22,-0.795,-0.636,-0.153,0.175
2017-06-23,-0.787,-0.627,-0.145,0.182
2017-06-26,-0.793,-0.632,-0.148,0.179
2017-06-27,-0.793,-0.627,-0.145,0.179
2017-06-28,-0.78,-0.563,-0.074,0.242
2017-06-29,-0.76,-0.529,-0.05,0.257
2017-06-30,-0.719,-0.5,-0.025,0.287
2017-07-03,-0.738,-0.504,-0.029,0.276
2017-07-04,-0.729,-0.491,-0.014,0.293
2017-07-05,-0.732,-0.488,-0.005,0.305
2017-07-06,-0.725,-0.479,0,0.305
2017-07-07,-0.743,-0.456,0.045,0.35
2017-07-10,-0.719,-0.456,0.035,0.343
2017-07-11,-0.712,-0.444,0.048,0.357
2017-07-12,-0.718,-0.451,0.037,0.341
2017-07-13,-0.707,-0.449,0.033,0.337
2017-07-14,-0.717,-0.438,0.042,0.338
2017-07-17,-0.705,-0.443,0.03,0.328
2017-07-18,-0.708,-0.444,0.023,0.313
2017-07-19,-0.703,-0.448,0.014,0.304
